age,qx,dx,lx,Lx,Tx,ex,year
54,6.26167111627076,561.239128905872,89630.8858265495,89350.2662620966,2450657.90048085,27.3416677508161,2023
55,6.75208555267196,601.405874648743,89069.6466976437,88768.9437603193,2361307.63421876,26.5108005001352,2023
56,7.26725766528919,642.921501255565,88468.2408229949,88146.7800723671,2272538.69045844,25.6876215613384,2023
57,7.80793623230094,685.734492845615,87825.3193217394,87482.4520753165,2184391.91038607,24.8720064698401,2023
58,8.38180214367803,730.38675891803,87139.5848288937,86774.3914494347,2096909.45831075,24.0637990464175,2023
59,9.00430971834933,778.055181936259,86409.1980699757,86020.1704790076,2010135.06686132,23.2629756062946,2023
60,9.69903491666325,830.53944482487,85631.1428880395,85215.873165627,1924114.89638231,22.4698028251012,2023
61,10.4984691811373,890.276521790438,84800.6034432146,84355.4651823194,1838899.02321668,21.6849756788355,2023
62,11.4285686299846,958.974929985925,83910.3269214241,83430.8394564312,1754543.55803437,20.9097452293014,2023
63,12.5057988292181,1037.37292061659,82951.3519914382,82432.6655311299,1671112.71857793,20.1456959827541,2023
64,13.7209563041788,1123.93812753215,81913.9790708216,81352.0100070556,1588680.0530468,19.3944925038162,2023
65,15.0290247251164,1214.19552287988,80790.0409432895,80182.9431818496,1507328.04303975,18.6573496614244,2023
66,16.3688181329769,1302.56254146456,79575.8454204096,78924.5641496773,1427145.0998579,17.9344007257241,2023
67,17.665868334657,1382.76550946079,78273.282878945,77581.9001242146,1348220.53570822,17.2245303393412,2023
68,18.8847753204589,1452.06014479657,76890.5173694843,76164.487297086,1270638.63558401,16.5252969944027,2023
69,20.0528524716773,1512.75625341758,75438.4572246877,74682.0790979789,1194474.14828692,15.8337563125035,2023
70,21.256549327239,1571.40530924653,73925.7009712701,73139.9983166468,1119792.06918894,15.1475340034196,2023
71,22.6545038922614,1639.15067269714,72354.2956620236,71534.720325675,1046652.0708723,14.4656521260513,2023
72,24.398484400199,1725.3423618799,70715.1449893264,69852.4738083865,975117.35054662,13.7893707308923,2023
73,26.6181911579945,1836.38375428968,68989.8026274465,68071.6107503017,905264.876738234,13.121720055162,2023
74,29.38909190118,1973.57799874165,67153.4188731568,66166.629873786,837193.265987932,12.4668748075101,2023
75,32.6748550508381,2129.7418528082,65179.8408744152,64114.9699480111,771026.636114146,11.8292193686038,2023
